Id,Creation Time,Owner,Monitoring Time,val/pts_bbox/KITTI/Car_BEV_easy_strict (last),val/pts_bbox/KITTI/Car_BEV_moderate_strict (last),val/pts_bbox/KITTI/Car_BEV_hard_strict (last),val/pts_bbox/KITTI/Overall_BEV_easy (last),val/pts_bbox/KITTI/Overall_BEV_moderate (last),val/pts_bbox/KITTI/Overall_BEV_hard (last),val/pts_bbox/KITTI/Pedestrian_BEV_easy_strict (last),val/pts_bbox/KITTI/Pedestrian_BEV_hard_strict (last),val/pts_bbox/KITTI/Pedestrian_BEV_moderate_strict (last),val/pts_bbox/KITTI/Cyclist_BEV_easy_strict (last),val/pts_bbox/KITTI/Cyclist_BEV_hard_strict (last),val/pts_bbox/KITTI/Cyclist_BEV_moderate_strict (last)
ROUT-38,2022-04-05 05:04:28,bentherien,19797,88.5032,85.9966,84.7195,77.678,69.8927,67.2462,68.8268,59.9027,62.7887,75.704,57.1164,60.8929
ROUT-37,2022-04-04 23:52:18,bentherien,20258,88.5606,86.4604,84.5223,78.2725,70.5932,67.5118,70.8001,61.5298,64.0959,75.4569,56.4834,61.2234
ROUT-35,2022-04-04 23:11:53,bentherien,21116,88.526,86.0311,84.5955,77.4226,70.3197,67.0618,70.6258,61.6112,66.4342,73.116,54.9788,58.4939
ROUT-34,2022-04-04 16:52:33,bentherien,20982,88.277,85.413,84.3408,78.7708,69.855,67.2091,71.4339,61.4737,64.4004,76.6014,55.8128,59.7518
