Id,Creation Time,Owner,Monitoring Time,val/pts_bbox/KITTI/Car_BEV_easy_strict (last),val/pts_bbox/KITTI/Car_BEV_moderate_strict (last),val/pts_bbox/KITTI/Car_BEV_hard_strict (last),val/pts_bbox/KITTI/Overall_BEV_easy (last),val/pts_bbox/KITTI/Overall_BEV_moderate (last),val/pts_bbox/KITTI/Overall_BEV_hard (last),val/pts_bbox/KITTI/Pedestrian_BEV_easy_strict (last),val/pts_bbox/KITTI/Pedestrian_BEV_hard_strict (last),val/pts_bbox/KITTI/Pedestrian_BEV_moderate_strict (last),val/pts_bbox/KITTI/Cyclist_BEV_easy_strict (last),val/pts_bbox/KITTI/Cyclist_BEV_hard_strict (last),val/pts_bbox/KITTI/Cyclist_BEV_moderate_strict (last)
POIN-4,2022-04-07 14:31:03,bentherien,21274,89.0316,86.5478,84.8463,78.3566,69.5677,67.4994,71.2527,61.8561,64.4982,74.7855,55.7959,57.6571
POIN-3,2022-04-07 08:35:02,bentherien,21323,89.16,85.9775,84.4345,78.7736,71.2822,67.6344,71.5145,61.7363,66.6815,75.6462,56.7323,61.1876
POIN-2,2022-04-07 02:36:40,bentherien,21457,89.3922,86.2798,84.7419,77.6262,70.3519,67.2548,71.2793,61.8015,66.3221,72.207,55.2211,58.4539
