Defense                             Attack,AAA compose RT_GS,PGD compose RT_GS,AAA union RT_GS,PGD union RT_GS,AAA,PGD,RT_GS,Natural
"L_infty_compose_RT, beta=3.0",0.3185,0.3647,0.403,0.4462,0.4032,0.4466,0.7847,0.8381
"L_infty_union_RT, beta=3.0",,0.151,,0.5122,,0.5148,0.8469,0.8642
"RT, beta=3.0",0,0,0,0,0,0,0.8933,0.9546
"L_infty, beta=3.0",0.0527,0.0632,0.1873,0.197,0.5119,0.5414,0.2918,0.8636
"L_infty_compose_RT, beta=6.0",0.2562,0.3046,0.3963,0.4414,0.3986,0.4447,0.7476,0.8277
"L_infty_union_RT, beta=6.0",0.1594,0.2415,0.5056,0.5464,0.5065,0.5477,0.8367,0.8472
"RT, beta=6.0",0,0,0,0,0,0.0001,0.8905,0.9491
"L_infty, beta=6.0",0.0724,0.0911,0.2077,0.2193,0.5302,0.5663,0.3236,0.8492
Natural,0,0,,,,,0.4096,
