Id,Creation Time,Owner,Monitoring Time,Tags,val/pts_bbox/KITTI/Car_3D_easy_strict (last),val/pts_bbox/KITTI/Car_3D_hard_strict (last),val/pts_bbox/KITTI/Car_3D_moderate_strict (last),val/pts_bbox/KITTI/Pedestrian_3D_easy_strict (last),val/pts_bbox/KITTI/Pedestrian_3D_hard_strict (last),val/pts_bbox/KITTI/Pedestrian_3D_moderate_strict (last),val/pts_bbox/KITTI/Cyclist_3D_easy_strict (last),val/pts_bbox/KITTI/Cyclist_3D_hard_strict (last),val/pts_bbox/KITTI/Cyclist_3D_moderate_strict (last),val/pts_bbox/KITTI/Overall_3D_easy (last),val/pts_bbox/KITTI/Overall_3D_hard (last),val/pts_bbox/KITTI/Overall_3D_moderate (last)
MOEFLB-3,2022-04-14 16:36:37,bentherien,21080,[],85.7543,73.1342,76.053,60.4702,52.2963,57.2805,68.9926,51.3871,53.4251,71.739,58.9392,62.2529
MOEFLB-2,2022-04-14 10:48:52,bentherien,20821,[],87.7643,73.9318,76.9919,61.4282,51.9401,56.1515,73.5007,53.6685,56.0817,74.2311,59.8468,63.075
MOEFLB-1,2022-04-13 18:47:20,bentherien,20927,[],86.952,74.0796,76.4091,61.6883,52.4749,57.5579,71.0043,51.3621,53.9403,73.2148,59.3055,62.6358
