Id,Creation Time,Owner,Monitoring Time,Tags,val/pts_bbox/KITTI/Pedestrian_3D_easy_strict (last),val/pts_bbox/KITTI/Pedestrian_3D_hard_strict (last),val/pts_bbox/KITTI/Pedestrian_3D_moderate_strict (last),val/pts_bbox/KITTI/Cyclist_3D_easy_strict (last),val/pts_bbox/KITTI/Cyclist_3D_hard_strict (last),val/pts_bbox/KITTI/Cyclist_3D_moderate_strict (last),val/pts_bbox/KITTI/Car_3D_easy_strict (last),val/pts_bbox/KITTI/Car_3D_hard_strict (last),val/pts_bbox/KITTI/Car_3D_moderate_strict (last),val/pts_bbox/KITTI/Overall_3D_easy (last),val/pts_bbox/KITTI/Overall_3D_hard (last),val/pts_bbox/KITTI/Overall_3D_moderate (last)
ROUT1-4,2022-04-08 19:22:22,bentherien,21026,[],61.7632,52.904,57.3855,77.2487,57.2601,59.7404,87.981,75.3139,77.0187,75.6643,61.826,64.7148
ROUT1-3,2022-04-08 13:32:51,bentherien,20933,[],63.6002,54.5193,59.6685,74.1246,55.1045,59.36,87.0176,75.589,76.9455,74.9141,61.7376,65.3247
ROUT1-2,2022-04-08 07:42:00,bentherien,21012,[],61.6988,53.0282,57.2646,72.0717,54.488,58.3212,86.294,75.4877,76.6166,73.3548,61.0013,64.0675
ROUT1-1,2022-04-08 01:49:32,bentherien,21111,[],61.7653,52.7014,57.6429,70.7139,51.5245,54.8652,87.9393,75.8987,77.4884,73.4728,60.0415,63.3322
