Id,Creation Time,Owner,Monitoring Time,Tags,val/pts_bbox/KITTI/Pedestrian_3D_easy_strict (last),val/pts_bbox/KITTI/Pedestrian_3D_hard_strict (last),val/pts_bbox/KITTI/Pedestrian_3D_moderate_strict (last),val/pts_bbox/KITTI/Cyclist_3D_easy_strict (last),val/pts_bbox/KITTI/Cyclist_3D_hard_strict (last),val/pts_bbox/KITTI/Cyclist_3D_moderate_strict (last),val/pts_bbox/KITTI/Car_3D_easy_strict (last),val/pts_bbox/KITTI/Car_3D_hard_strict (last),val/pts_bbox/KITTI/Car_3D_moderate_strict (last),val/pts_bbox/KITTI/Overall_3D_easy (last),val/pts_bbox/KITTI/Overall_3D_hard (last),val/pts_bbox/KITTI/Overall_3D_moderate (last)
POIN-4,2022-04-07 14:31:03,bentherien,21274,[],62.8261,56.2865,59.7945,72.6858,53.6885,56.4384,87.351,75.8459,77.0656,74.2876,61.9403,64.4328
POIN-3,2022-04-07 08:35:02,bentherien,21323,[],61.7697,52.8498,57.8681,73.3294,54.1786,58.6394,87.3371,73.8026,76.8142,74.1454,60.277,64.4406
POIN-2,2022-04-07 02:36:40,bentherien,21457,[],65.2326,56.3294,58.9985,70.7068,53.9113,55.091,87.7922,75.5697,77.2979,74.5772,61.9368,63.7958
